iter	Passed	Remaining
0	132	132277
1	138	69167
2	143	47644
3	148	36923
4	153	30606
5	158	26274
6	163	23156
7	167	20808
8	172	18983
9	177	17527
10	181	16330
11	186	15335
12	190	14481
13	195	13745
14	199	13113
15	204	12567
16	208	12071
17	213	11643
18	218	11266
19	222	10920
20	227	10605
21	231	10311
22	236	10050
23	241	9802
24	245	9584
25	250	9373
26	254	9177
27	259	9002
28	263	8834
29	268	8674
30	272	8528
31	277	8384
32	281	8253
33	286	8135
34	291	8034
35	296	7933
36	300	7832
37	305	7739
38	310	7655
39	315	7566
40	320	7488
41	324	7410
42	330	7346
43	335	7282
44	340	7221
45	345	7155
46	349	7093
47	354	7039
48	359	6982
49	364	6928
50	369	6879
51	374	6826
52	379	6779
53	384	6733
54	389	6690
55	395	6658
56	399	6615
57	404	6572
58	409	6533
59	414	6494
60	419	6460
61	425	6430
62	430	6396
63	435	6364
64	440	6334
65	445	6307
66	452	6295
67	458	6285
68	464	6263
69	470	6247
70	477	6242
71	482	6222
72	488	6202
73	494	6185
74	500	6167
75	506	6157
76	512	6143
77	518	6129
78	525	6130
79	531	6117
80	537	6098
81	543	6084
82	549	6067
83	554	6048
84	560	6030
85	565	6011
86	571	5993
87	576	5974
88	581	5953
89	586	5934
90	592	5916
91	597	5895
92	603	5881
93	608	5864
94	613	5844
95	619	5831
96	625	5819
97	630	5806
98	636	5791
99	641	5773
100	646	5752
101	651	5733
102	656	5716
103	661	5697
104	666	5680
105	671	5665
106	677	5650
107	682	5634
108	687	5617
109	692	5600
110	697	5584
111	701	5565
112	706	5547
113	711	5531
114	716	5515
115	721	5499
116	726	5484
117	732	5471
118	736	5456
119	741	5441
120	746	5425
121	752	5413
122	757	5404
123	763	5391
124	768	5377
125	773	5363
126	778	5351
127	783	5340
128	788	5325
129	793	5312
130	799	5300
131	804	5287
132	808	5272
133	813	5260
134	818	5246
135	823	5233
136	828	5220
137	833	5207
138	838	5196
139	844	5185
140	849	5174
141	854	5161
142	859	5149
143	864	5136
144	869	5125
145	874	5114
146	879	5102
147	884	5092
148	889	5080
149	894	5068
150	899	5056
151	904	5045
152	909	5034
153	914	5022
154	919	5012
155	924	5001
156	929	4991
157	934	4981
158	939	4970
159	944	4960
160	949	4950
161	954	4939
162	959	4928
163	965	4919
164	970	4910
165	975	4900
166	980	4889
167	985	4879
168	990	4868
169	994	4857
170	1000	4848
171	1005	4839
172	1010	4829
173	1015	4819
174	1020	4810
175	1025	4801
176	1030	4790
177	1035	4779
178	1040	4772
179	1046	4766
180	1051	4759
181	1057	4750
182	1062	4743
183	1068	4737
184	1073	4729
185	1078	4720
186	1083	4711
187	1089	4704
188	1094	4695
189	1099	4687
190	1104	4677
191	1109	4669
192	1114	4662
193	1120	4653
194	1125	4645
195	1130	4637
196	1135	4628
197	1140	4620
198	1145	4612
199	1150	4603
200	1156	4596
201	1161	4587
202	1166	4580
203	1171	4571
204	1176	4563
205	1182	4556
206	1186	4547
207	1191	4537
208	1197	4530
209	1202	4522
210	1207	4514
211	1212	4506
212	1217	4497
213	1222	4488
214	1227	4480
